	gene_id_NPS-447_
ATP7B	13
ATP8A1	1
ATP8A2	0
ATP8B1	4
ATP8B2	0
ATP8B3	2
ATP8B4	2
ATP8B5P	0
ATP9A	14
ATP9B	0
ATPAF1	1
ATPAF2	0
ATPIF1	34
ATR	4
ATRAID	0
ATRIP	0
ATRN	5
ATRNL1	0
ATRX	33
ATXN1	7
ATXN10	4
ATXN1L	9
ATXN2	13
ATXN2L	24
ATXN3	4
ATXN3L	0
ATXN7	15
ATXN7L1	9
ATXN7L2	3
ATXN7L3	5
ATXN7L3B	3
ATXN8OS	0
AUH	17
AUNIP	0
AUP1	2
AURKA	1
AURKAIP1	8
AURKAPS1	0
AURKB	0
AURKC	0
AUTS2	18
AVEN	0
AVIL	4
AVL9	2
AVP	0
AVPI1	1
AVPR1A	0
AVPR1B	0
AVPR2	0
AWAT1	0
AWAT2	0
AXDND1	2
AXIN1	10
AXIN2	3
AXL	5
AZGP1	7
AZGP1P1	0
AZI2	4
AZIN1	5
AZIN1_AS1	3
AZIN2	3
AZU1	30
B2M	145
B3GALNT1	0
B3GALNT2	6
B3GALT1	0
B3GALT2	2
B3GALT4	8
B3GALT5	6
B3GALT5_AS1	0
B3GALT6	51
B3GAT1	0
B3GAT2	0
B3GAT3	2
B3GLCT	0
B3GNT2	1
B3GNT3	6
B3GNT4	0
B3GNT5	4
B3GNT6	1
B3GNT7	5
B3GNT8	3
B3GNT9	8
B3GNTL1	3
B4GALNT1	0
B4GALNT2	0
B4GALNT3	25
B4GALNT4	2
B4GALT1	8
B4GALT1_AS1	0
B4GALT2	1
B4GALT3	1
B4GALT4	3
B4GALT4_AS1	0
B4GALT5	21
B4GALT6	0
B4GALT7	0
B4GAT1	0
B9D1	2
B9D2	0
BAALC	2
BAALC_AS1	0
BAALC_AS2	1
BAAT	0
BABAM1	4
BACE1	0
BACE1_AS	2
BACE2	0
BACH1	8
BACH1_IT2	0
BACH2	3
BAD	1
BAG1	41
BAG2	0
BAG3	7
BAG4	1
BAG5	6
BAG6	16
BAGE	0
BAGE2	0
BAGE3	0
BAGE4	0
BAGE5	0
BAHCC1	10
BAHD1	4
BAIAP2	10
BAIAP2_AS1	0
BAIAP2L1	16
BAIAP2L2	1
BAIAP3	27
BAK1	3
BAMBI	2
BANCR	0
BANF1	3
BANF2	0
BANK1	12
BANP	13
BAP1	44
BARD1	2
BARHL1	0
BARHL2	0
BARX1	1
BARX2	3
BASP1	98
BASP1P1	2
BATF	1
BATF2	7
BATF3	4
BAX	5
BAZ1A	77
BAZ1B	78
BAZ2A	98
BAZ2B	68
BBC3	1
BBIP1	0
BBOX1	1
BBOX1_AS1	0
BBS1	6
BBS10	0
BBS12	1
BBS2	6
BBS4	0
BBS5	3
BBS7	2
BBS9	0
BBX	11
BCAM	2
BCAN	1
BCAP29	2
BCAP31	17
BCAR1	5
BCAR3	0
BCAR4	0
BCAS1	27
BCAS2	5
BCAS3	8
BCAS4	0
BCAT1	0
BCAT2	2
BCCIP	21
BCDIN3D	1
