	gene_id_FLU_22_S38_
B4GALT1	1382
B4GALT1_AS1	23
B4GALT2	29
B4GALT3	537
B4GALT4	179
B4GALT4_AS1	14
B4GALT5	2708
B4GALT6	76
B4GALT7	133
B4GAT1	24
B9D1	18
B9D2	89
BAALC	12
BAALC_AS1	1
BAALC_AS2	0
BAAT	4
BABAM1	1437
BACE1	191
BACE1_AS	10
BACE2	330
BACH1	13143
BACH1_IT2	217
BACH2	379
BAD	120
BAG1	3645
BAG2	113
BAG3	49
BAG4	660
BAG5	1204
BAG6	1307
BAGE	0
BAGE2	0
BAGE3	0
BAGE4	0
BAGE5	0
BAHCC1	30
BAHD1	207
BAIAP2	56
BAIAP2_AS1	185
BAIAP2L1	156
BAIAP2L2	5
BAIAP3	77
BAK1	287
BAMBI	15
BANCR	3
BANF1	63
BANF2	0
BANK1	582
BANP	691
BAP1	991
BARD1	665
BARHL1	0
