	gene_id_FLU_45_
ATP6V1B2	2820
ATP6V1C1	603
ATP6V1C2	20
ATP6V1D	330
ATP6V1E1	562
ATP6V1E2	31
ATP6V1F	63
ATP6V1G1	594
ATP6V1G2	7
ATP6V1G2_DDX39B	0
ATP6V1G3	0
ATP6V1H	211
ATP7A	864
ATP7B	26
ATP8A1	1492
ATP8A2	2
ATP8B1	194
ATP8B2	1198
ATP8B3	38
ATP8B4	692
ATP8B5P	1
ATP9A	90
ATP9B	807
ATPAF1	147
ATPAF2	85
ATPIF1	124
ATR	1104
ATRAID	195
ATRIP	238
ATRN	473
ATRNL1	5
ATRX	2749
ATXN1	1204
ATXN10	439
ATXN1L	504
ATXN2	534
ATXN2L	728
ATXN3	510
ATXN3L	0
ATXN7	1488
ATXN7L1	360
ATXN7L2	25
ATXN7L3	777
ATXN7L3B	533
ATXN8OS	0
AUH	133
AUNIP	9
AUP1	569
AURKA	223
AURKAIP1	220
AURKAPS1	82
AURKB	23
AURKC	1
AUTS2	123
AVEN	45
AVIL	269
AVL9	880
AVP	0
AVPI1	10
AVPR1A	18
AVPR1B	0
AVPR2	88
AWAT1	0
AWAT2	0
AXDND1	2
AXIN1	425
AXIN2	69
AXL	2
AZGP1	0
AZGP1P1	0
AZI2	384
AZIN1	997
AZIN1_AS1	3
AZIN2	9
AZU1	1
B2M	40060
B3GALNT1	12
B3GALNT2	121
B3GALT1	0
B3GALT2	113
B3GALT4	89
B3GALT5	0
B3GALT5_AS1	0
B3GALT6	111
B3GAT1	13
B3GAT2	0
B3GAT3	75
B3GLCT	88
B3GNT2	311
B3GNT3	0
B3GNT4	4
B3GNT5	281
B3GNT6	1
B3GNT7	19
B3GNT8	146
B3GNT9	27
B3GNTL1	188
B4GALNT1	0
B4GALNT2	0
B4GALNT3	26
B4GALNT4	15
B4GALT1	801
B4GALT1_AS1	1
B4GALT2	19
B4GALT3	245
B4GALT4	99
B4GALT4_AS1	1
B4GALT5	1052
B4GALT6	39
B4GALT7	59
B4GAT1	10
B9D1	1
B9D2	39
BAALC	7
BAALC_AS1	0
BAALC_AS2	0
BAAT	0
BABAM1	293
BACE1	160
BACE1_AS	6
BACE2	54
BACH1	5341
BACH1_IT2	92
BACH2	297
BAD	49
BAG1	1087
BAG2	45
BAG3	23
BAG4	341
BAG5	619
BAG6	1596
BAGE	0
BAGE2	0
BAGE3	0
BAGE4	0
BAGE5	0
BAHCC1	36
BAHD1	152
BAIAP2	159
BAIAP2_AS1	126
BAIAP2L1	103
BAIAP2L2	7
BAIAP3	155
BAK1	106
BAMBI	5
BANCR	0
BANF1	39
BANF2	0
BANK1	652
BANP	658
BAP1	410
BARD1	459
BARHL1	1
BARHL2	0
BARX1	0
BARX2	0
BASP1	2896
BASP1P1	0
BATF	69
BATF2	36
BATF3	3
BAX	162
BAZ1A	3024
BAZ1B	1052
BAZ2A	2412
BAZ2B	4548
BBC3	63
BBIP1	176
BBOX1	1
BBOX1_AS1	0
BBS1	113
